Status,Bill,Created,Client Name,Quantity,Amount,Balance,Options
Closed,PUR194,12/01/2026,MEDIPAL MEDICAL SUPPLIES LTD,1.00,9000,9000,Options Bill Lines Edit Print Void entries
Closed,PUR192,26/11/2025,ALPHA SURGICALS SUPPLIES LIMITED,24.00,13200,13200,Options Bill Lines Edit Print Void entries
Closed,PUR190,08/11/2025,LITHI PURIFIED WATER,3.00,900,900,Options Bill Lines Edit Print Void entries
Closed,PUR189,09/01/2026,ALPHA SURGICALS SUPPLIES LIMITED,2000.00,14000,14000,Options Bill Lines Edit Print Void entries
Closed,PUR188,25/11/2025,MICROARRAY LIMITED,7.00,7000,7000,Options Bill Lines Edit Print Void entries
Closed,PUR187,17/12/2025,ALLIED MEDICAL SUPPLIES LIMITED,20.00,19000,19000,Options Bill Lines Edit Print Void entries
Closed,PUR185,15/12/2025,DRIVEMASTERS AUTO CENTRE LTD,1.00,26550,26550,Options Bill Lines Edit Print Void entries
Closed,PUR184,25/11/2025,ALPHA SURGICALS SUPPLIES LIMITED,1000.00,7000,7000,Options Bill Lines Edit Print Void entries
Closed,PUR183,05/01/2026,ALPHA SURGICALS SUPPLIES LIMITED,14.00,8300,8300,Options Bill Lines Edit Print Void entries
Closed,PUR182,05/01/2026,ALPHA SURGICALS SUPPLIES LIMITED,2000.00,14000,14000,Options Bill Lines Edit Print Void entries
Closed,PUR181,05/01/2026,SALIHIYA WORLDS CARGO LIMITED,1.00,65900,65900,Options Bill Lines Edit Print Void entries
Closed,PUR180,06/01/2026,TRAVOTECH AGENCIES,1.00,1000,1000,Options Bill Lines Edit Print Void entries
Closed,PUR179,06/01/2026,ALPHA SURGICALS SUPPLIES LIMITED,5.00,4250,4250,Options Bill Lines Edit Print Void entries
Closed,PUR178,06/01/2026,KEVTON COMPUTERS,2.00,1800,1800,Options Bill Lines Edit Print Void entries
Closed,PUR177,05/01/2026,SAMADAC DIAGNOSTIC LIMITED,1.00,1000,1000,Options Bill Lines Edit Print Void entries
Closed,PUR170,08/01/2026,BIG MUSCLE E.A AGENCIES,1.00,8500,8500,Options Bill Lines Edit Print Void entries
Closed,PUR168,08/01/2026,HARLEYS LIMITED,1.00,1564,1564,Options Bill Lines Edit Print Void entries
Closed,PUR167,09/01/2026,ALPHA SURGICALS SUPPLIES LIMITED,24.00,13200,13200,Options Bill Lines Edit Print Void entries
Closed,PUR165,16/12/2025,ASCEND MEDICAL SUPPLIES,2.00,10580,10580,Options Bill Lines Edit Print Void entries
Closed,PUR164,16/12/2025,SAMADAC DIAGNOSTIC LIMITED,2.00,2000,2000,Options Bill Lines Edit Print Void entries
Closed,PUR163,02/12/2025,CHEMOQUIP LTD,7.00,53550,53550,Options Bill Lines Edit Print Void entries
Closed,PUR162,29/11/2025,TOTAL PROPERTIES LTD,1.00,25000,25000,Options Bill Lines Edit Print Void entries
Closed,PUR161,16/12/2025,LITHI PURIFIED WATER,4.00,1200,1200,Options Bill Lines Edit Print Void entries
Closed,PUR160,16/12/2025,LEGATO MEDICAL SUPPLIES LIMITED,2.00,1300,1300,Options Bill Lines Edit Print Void entries
Closed,PUR159,05/12/2025,ALPHA SURGICALS SUPPLIES LIMITED,1012.00,13600,13600,Options Bill Lines Edit Print Void entries
Closed,PUR158,08/12/2025,ALPHA SURGICALS SUPPLIES LIMITED,1.00,6000,6000,Options Bill Lines Edit Print Void entries
Closed,PUR157,11/11/2025,MEMBERS CORPORATE BRANDS,500.00,10000,10000,Options Bill Lines Edit Print Void entries
Closed,PUR156,09/12/2025,MEDIPAL MEDICAL SUPPLIES LTD,120.00,84000,84000,Options Bill Lines Edit Print Void entries
