Quote,Created,﻿ ﻿ sales person,Client Name,Status,Total Amount,Options
QT355,17/03/2026,,EPHRON WELLNESS MEDICAL CENTER,Draft,"1,098,000.00",Options quote Lines Edit View Quote Print
QT354,17/01/2026,Mercy Jemutai,KOBUJOI MISSION HOSPITAL,Draft,"2,086,000.00",Options quote Lines Edit View Quote Print
QT353,17/03/2026,,,Draft,0.00,Options quote Lines Edit View Quote Print
QT352,16/03/2026,,"SHIMO LA TEWA,PRISON DISPENSARY",Draft,"150,300.00",Options quote Lines Edit View Quote Print
QT350,16/03/2026,,KENDU ADVENTIST MISSION HOSPITAL,Draft,"84,000.00",Options quote Lines Edit View Quote Print
QT349,16/03/2026,,ORTUM MISSION HOSPITAL,Draft,"90,000.00",Options quote Lines Edit View Quote Print
QT348,16/03/2026,Beatrice Maingi,TARIGO MEDICAL CLINIC,Draft,"500,000.00",Options quote Lines Edit View Quote Print
QT347,13/03/2026,Vivian Kawira,"SHIMO LA TEWA,PRISON DISPENSARY",Draft,"80,000.00",Options quote Lines Edit View Quote Print
QT346,13/03/2026,,WESTSIDE HEALTHCARE LIMITED,Draft,"30,000.00",Options quote Lines Edit View Quote Print
QT345,13/03/2026,,CHRISTAMARIANNE MISSION HOSPITAL,Draft,"6,470,180.00",Options quote Lines Edit View Quote Print
QT343,13/03/2026,,ELIUD KISIANG'ANI,Draft,"130,600.00",Options quote Lines Edit View Quote Print
QT341,13/03/2026,,MARY IMMACULATE KAGIO CATHOLIC DISPENSARY,Draft,"500,000.00",Options quote Lines Edit View Quote Print
QT340,13/03/2026,,CHRISTAMARIANNE MISSION HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT339,13/03/2026,Lucy Omenya Akinyi,ST LAZARUS BUYANGU MISSION HEALTH CENTRE,Draft,"180,000.00",Options quote Lines Edit View Quote Print
QT338,12/03/2026,,ST LAZARUS BUYANGU MISSION HEALTH CENTRE,Draft,"650,000.00",Options quote Lines Edit View Quote Print
QT337,12/03/2026,,MOTHER FRANCISCA MISSION MATERNITY HC,Draft,"450,000.00",Options quote Lines Edit View Quote Print
QT336,12/03/2026,,CHRISTAMARIANNE MISSION HOSPITAL,Draft,"4,940,000.00",Options quote Lines Edit View Quote Print
QT334,11/03/2026,,FRONTIER COUNTIES DEVELOPMENT COUNCIL,Draft,"5,700,000.00",Options quote Lines Edit View Quote Print
QT332,11/03/2026,,ST JOHNS HEALTH CENTRE SIRENDE,Draft,"2,473,000.00",Options quote Lines Edit View Quote Print
QT330,11/03/2026,,MAISHA MEDICAL CENTRE,Draft,"11,031,100.00",Options quote Lines Edit View Quote Print
QT329,10/03/2026,,AGC LIONS HOSPITAL,Draft,"333,500.00",Options quote Lines Edit View Quote Print
QT328,10/03/2026,,SIDAI LONESTAR MEDICAL CENTER,Draft,"62,720.00",Options quote Lines Edit View Quote Print
QT325,09/03/2026,,KIBIRICHIA CATHOLIC DISPENSARY,Draft,"430,000.00",Options quote Lines Edit View Quote Print
QT319,06/03/2026,,AFYA INTERNATIONAL HOSPITAL,Draft,"380,000.00",Options quote Lines Edit View Quote Print
QT316,03/02/2026,Beatrice Maingi,SAPTA TRUST,Draft,"122,200.00",Options quote Lines Edit View Quote Print
QT315,04/03/2026,,SAVANIS MEDICAL CLINIC,Draft,"650,000.00",Options quote Lines Edit View Quote Print
QT313,03/03/2026,,WOOD STREET CLINIC AND NURSING HOME,Draft,"195,000.00",Options quote Lines Edit View Quote Print
QT312,03/03/2026,,CHEPCHOINA MEDICAL CENTER,Draft,"770,000.00",Options quote Lines Edit View Quote Print
QT311,03/03/2026,,MULUTU CATHOLIC DISPENSARY,Draft,"250,000.00",Options quote Lines Edit View Quote Print
QT310,03/03/2026,,MULUTU CATHOLIC DISPENSARY,Draft,"220,000.00",Options quote Lines Edit View Quote Print
QT309,02/03/2026,Lucy-Thiongo,MATUU MISSION HEALTHCARE CENTRE,Draft,"2,325,000.00",Options quote Lines Edit View Quote Print
QT308,27/02/2026,Office,MAKUENI DOCTORS PLAZA LTD,Draft,"25,700.00",Options quote Lines Edit View Quote Print
QT307,27/02/2026,,NORTLIGHT HOSPITAL,Draft,"1,752,500.00",Options quote Lines Edit View Quote Print
QT306,27/02/2026,Purity Jepkemei,KACHELIBA MISSION HEALTH CENTRE,Draft,"3,000,000.00",Options quote Lines Edit View Quote Print
QT305,27/02/2026,,KACHELIBA MISSION HEALTH CENTRE,Draft,0.00,Options quote Lines Edit View Quote Print
QT302,26/02/2026,,OSILIGI MEDICAL CENTRE,Draft,"586,000.00",Options quote Lines Edit View Quote Print
QT301,26/02/2026,,NAIROBI WOMENS,Draft,"17,198,000.00",Options quote Lines Edit View Quote Print
QT300,25/02/2026,,SHIFAH HOSPITAL AND DIALYSIS CENTRE LTD,Draft,"20,905.00",Options quote Lines Edit View Quote Print
QT297,24/02/2026,,BIKEKE HEALTH CARE,Draft,"798,500.00",Options quote Lines Edit View Quote Print
QT296,24/02/2026,,THE MARA SPECIALIST HOSPITAL LIMITED,Draft,"131,650.00",Options quote Lines Edit View Quote Print
QT294,24/02/2026,,ST.ANTONY KIBABII,Draft,"7,600,000.00",Options quote Lines Edit View Quote Print
QT293,24/02/2026,,ANDERSEN MEDICAL CENTRE,Draft,750.00,Options quote Lines Edit View Quote Print
QT292,24/02/2026,,ST.ANTONY KIBABII,Draft,"3,664,400.00",Options quote Lines Edit View Quote Print
QT291,23/02/2026,,NG'IYA HEALTH CENTRE,Draft,"30,400.00",Options quote Lines Edit View Quote Print
QT290,21/02/2026,,AROHA CANCER CENTER,Draft,"79,925.00",Options quote Lines Edit View Quote Print
QT287,19/02/2026,,NAZARETH HOSPITAL NGARARIGA BRANCH,Draft,"8,000.00",Options quote Lines Edit View Quote Print
QT286,19/02/2026,,MULOT CATHOLIC DISPENSARY,Draft,"600,000.00",Options quote Lines Edit View Quote Print
QT284,18/02/2026,,Nyarioba Medical center,Draft,"781,800.00",Options quote Lines Edit View Quote Print
QT283,17/02/2026,,CONSOLATA HOSPITAL GITORO,Draft,"155,000.00",Options quote Lines Edit View Quote Print
QT281,16/02/2026,,CRESTVIEW MOTHER AND CHILD HOSPITAL,Draft,"14,650.00",Options quote Lines Edit View Quote Print
QT277,13/02/2026,,KEGOGI HOSPITAL,Draft,"12,550.00",Options quote Lines Edit View Quote Print
QT276,13/02/2026,,MERIDIAN HOSPITAL MALINDI,Draft,"120,000.00",Options quote Lines Edit View Quote Print
QT275,11/02/2026,Sharon-Kisumu,BONDO MEDICAL CENTRE LIMITED,Draft,"28,000.00",Options quote Lines Edit View Quote Print
QT274,11/02/2026,,KERIO HOSPITAL,Draft,"113,500.00",Options quote Lines Edit View Quote Print
QT273,11/02/2026,,AGC LIONS HOSPITAL,Draft,"370,000.00",Options quote Lines Edit View Quote Print
QT272,11/02/2026,,ARATUS HEALTH CLINIC,Draft,"879,110.00",Options quote Lines Edit View Quote Print
QT270,09/02/2026,,JARALAM HOSPITAL,Draft,"1,200,000.00",Options quote Lines Edit View Quote Print
QT269,09/02/2026,,CONSOLATA HOSPITAL,Draft,"70,000.00",Options quote Lines Edit View Quote Print
QT267,07/02/2026,,SINDIANI AGENCIES LTD,Draft,"7,050,000.00",Options quote Lines Edit View Quote Print
QT266,07/02/2026,,THE GATEWAY DIAGNOSIS AND HEALTHCARE LTD,Draft,"860,000.00",Options quote Lines Edit View Quote Print
QT265,06/02/2026,,TRINITY MISSION HOSPITAL LESERU,Draft,"2,707,000.00",Options quote Lines Edit View Quote Print
QT261,05/02/2026,,IMMACULATE HEART HOSPITAL KEREITA,Draft,"6,006,000.00",Options quote Lines Edit View Quote Print
QT260,05/02/2026,,BROTHER ANDREA,Draft,"30,150.00",Options quote Lines Edit View Quote Print
QT258,04/02/2026,,ASAD MEDICAL CENTRE LTD(CLINIC),Draft,"30,300.00",Options quote Lines Edit View Quote Print
QT257,04/02/2026,,ZURI HEALTH KENYA,Draft,"35,500.00",Options quote Lines Edit View Quote Print
QT255,04/02/2026,,AIC BIRIBIRET MISSION HOSPITAL,Draft,"460,000.00",Options quote Lines Edit View Quote Print
QT254,04/02/2026,,FOUNTAIN HEALTHCARE,Draft,"400,000.00",Options quote Lines Edit View Quote Print
QT253,03/02/2026,,COMFY HEALTHCARE LIMITED,Draft,0.00,Options quote Lines Edit View Quote Print
QT252,03/02/2026,,ST. CLARE MEDICAL CENTRE NAMBALE (KISOKO),Draft,"525,500.00",Options quote Lines Edit View Quote Print
QT251,03/02/2026,,LITTLE SISTERS OF ST. FRANCIS,Draft,"527,500.00",Options quote Lines Edit View Quote Print
QT249,02/02/2026,,AMBACARE MEDICAL CENTER,Draft,"737,900.00",Options quote Lines Edit View Quote Print
QT248,31/01/2026,,NORTLIGHT HOSPITAL,Draft,"3,200.00",Options quote Lines Edit View Quote Print
QT247,31/01/2026,,STEADFAST GROUP LLC,Draft,"8,138.00",Options quote Lines Edit View Quote Print
QT246,30/01/2026,,,Draft,"27,500.00",Options quote Lines Edit View Quote Print
QT245,29/01/2026,,MATUU MISSION HEALTHCARE CENTRE,Draft,"9,500.00",Options quote Lines Edit View Quote Print
QT244,28/01/2026,,HAMAT HEALTHCARE,Draft,"1,200,000.00",Options quote Lines Edit View Quote Print
QT243,28/01/2026,,HEALTH REACH DIAGNOSTICS,Draft,"76,700.00",Options quote Lines Edit View Quote Print
QT237,24/01/2026,,EZEETEC LIMITED,Draft,"999,000.00",Options quote Lines Edit View Quote Print
QT236,23/01/2026,,GALAXY HOSPITAL,Draft,"114,500.00",Options quote Lines Edit View Quote Print
QT235,23/01/2026,,ORTUM MISSION HOSPITAL,Draft,"5,900,000.00",Options quote Lines Edit View Quote Print
QT234,23/01/2026,,HEALTH REACH DIAGNOSTICS,Draft,"5,000.00",Options quote Lines Edit View Quote Print
QT233,22/01/2026,,ASAD MEDICAL CENTRE LTD(CLINIC),Draft,"350,000.00",Options quote Lines Edit View Quote Print
QT232,22/01/2026,,PALM REPRO HEALTH ASSOCIATES,Draft,"15,000.00",Options quote Lines Edit View Quote Print
QT231,22/01/2026,,KIMININI COTTAGE MISSION HOSPITAL,Draft,"66,100.00",Options quote Lines Edit View Quote Print
QT229,22/01/2026,,KHAIRAT MEDICAL CENTRE LIMITED,Draft,"33,500.00",Options quote Lines Edit View Quote Print
QT227,21/01/2026,,SHIFAH HOSPITAL AND DIALYSIS CENTRE LTD,Draft,"22,900.00",Options quote Lines Edit View Quote Print
QT224,21/01/2026,,ST. ELIZABETH GEKANO MISSION HOSPITAL,Draft,"3,156,175.00",Options quote Lines Edit View Quote Print
QT223,20/01/2026,,GETHSEMANE MISSION HOSPITAL,Draft,"180,000.00",Options quote Lines Edit View Quote Print
QT222,20/01/2026,,METEITEI SUB-COUNTY HOSPITAL,Draft,"517,000.00",Options quote Lines Edit View Quote Print
QT220,19/01/2026,,LODWAR HILLS HOSPITAL,Draft,"61,600.00",Options quote Lines Edit View Quote Print
QT219,22/01/2026,,"SHIMO LA TEWA,PRISON DISPENSARY",Draft,"35,140.00",Options quote Lines Edit View Quote Print
QT218,19/01/2026,,,Draft,"26,000.00",Options quote Lines Edit View Quote Print
QT217,19/01/2026,,,Draft,0.00,Options quote Lines Edit View Quote Print
QT216,19/01/2026,,MOTHER AMADEA MISSION HOSPITAL,Draft,"180,000.00",Options quote Lines Edit View Quote Print
QT215,17/01/2026,,SENSEI INSTITUTE OF TECHNOLOGY,Draft,"30,000.00",Options quote Lines Edit View Quote Print
QT214,16/01/2026,,SIDAI LONESTAR MEDICAL CENTER,Draft,"8,500.00",Options quote Lines Edit View Quote Print
QT213,16/01/2026,,SIDAI LONESTAR MEDICAL CENTER,Draft,"13,920.00",Options quote Lines Edit View Quote Print
QT212,16/01/2026,,ST. GABRIEL HOSPITAL,Draft,"430,000.00",Options quote Lines Edit View Quote Print
QT211,15/01/2026,,GICHAGI DISPENSARY,Draft,"105,800.00",Options quote Lines Edit View Quote Print
QT205,14/01/2026,,MASENO MISSION HOSPITAL,Draft,"49,490.00",Options quote Lines Edit View Quote Print
QT204,13/01/2026,,GOLD LIGHT MEDICAL CENTRE,Draft,"450,000.00",Options quote Lines Edit View Quote Print
QT203,13/01/2026,,LOS OLIVOS MEDICARE,Draft,"293,700.00",Options quote Lines Edit View Quote Print
QT202,12/01/2026,,THE MARA SPECIALIST HOSPITAL LIMITED,Draft,"46,600.00",Options quote Lines Edit View Quote Print
QT199,12/01/2026,,MT.SINAI,Draft,"976,500.00",Options quote Lines Edit View Quote Print
QT197,12/01/2026,,ASTER HEALTH LIMITED,Draft,"2,300.00",Options quote Lines Edit View Quote Print
QT192,07/01/2026,,ST. ELIZABETH GEKANO MISSION HOSPITAL,Draft,"3,156,175.00",Options quote Lines Edit View Quote Print
QT183,19/12/2025,,ONEWAYWISE HEALTH SERVICES,Draft,"1,805,000.00",Options quote Lines Edit View Quote Print
QT182,19/12/2025,,BAHATI MDR DISPENSARY,Draft,"9,900.00",Options quote Lines Edit View Quote Print
QT181,19/12/2025,,BRIAN JAKE MEMORIAL HOSPITAL,Draft,"46,600.00",Options quote Lines Edit View Quote Print
QT179,16/12/2025,,MALKIA WINGS MEDICAL CENTER,Draft,"8,800.00",Options quote Lines Edit View Quote Print
QT178,16/12/2025,,MACMILLAN UNIVERSITY LTD,Draft,"156,000.00",Options quote Lines Edit View Quote Print
QT177,16/12/2025,,LANGATA HOSPITAL LTD,Draft,"26,800.00",Options quote Lines Edit View Quote Print
QT176,16/12/2025,,ST DAMIANO MISSION HOSPITAL,Draft,"1,485,000.00",Options quote Lines Edit View Quote Print
