Quote,Created,﻿ ﻿ sales person,Client Name,Status,Total Amount,Options
QT095,07/11/2025,,ST PAULS MISSION HOSPITAL,Draft,"273,200.00",Options quote Lines Edit View Quote Print
QT094,07/11/2025,,MOUNT OLIVES MEDICAL CENTRE,Draft,"6,199,000.00",Options quote Lines Edit View Quote Print
QT093,06/11/2025,,ST JOSEPHS HOSPITAL,Draft,"14,500.00",Options quote Lines Edit View Quote Print
QT092,06/11/2025,,KHAIRAT MEDICAL CENTRE LIMITED,Draft,"90,000.00",Options quote Lines Edit View Quote Print
QT091,06/11/2025,,NICEVIEW HOSPITAL,Draft,"230,000.00",Options quote Lines Edit View Quote Print
QT090,06/11/2025,,CORNERSTONE BAPTIST DISOENSARY,Draft,"52,000.00",Options quote Lines Edit View Quote Print
QT089,06/11/2025,,MAKUENI DOCTORS PLAZA LTD,Draft,"30,100.00",Options quote Lines Edit View Quote Print
QT087,05/11/2025,,HILLACARE MEDICAL CENTRE,Draft,"690,000.00",Options quote Lines Edit View Quote Print
QT086,05/11/2025,,EZEETEC LIMITED,Draft,"999,640.00",Options quote Lines Edit View Quote Print
QT085,05/11/2025,,CATHOLIC DIOCESES OF LODWAR,Draft,"3,229,500.00",Options quote Lines Edit View Quote Print
QT084,04/11/2025,,CATHOLIC DISPENSARY MAKINDU,Draft,"12,700.00",Options quote Lines Edit View Quote Print
QT083,04/11/2025,,CATHOLIC DISPENSARY MAKINDU,Draft,0.00,Options quote Lines Edit View Quote Print
QT081,04/11/2025,,EDELVALE TRUST JAMAA HOME AND MISSION HOSPITAL,Draft,"1,282,500.00",Options quote Lines Edit View Quote Print
QT080,04/11/2025,,NORTHCOAST MEDICAL TRAINING COLLEGE,Draft,"8,520.00",Options quote Lines Edit View Quote Print
QT078,04/11/2025,,BARATON JEREMIC COMMUNITY MEDICAL CENTRE,Draft,"19,400.00",Options quote Lines Edit View Quote Print
QT076,03/11/2025,,KANGEMI HEALTH CENTER,Draft,"170,000.00",Options quote Lines Edit View Quote Print
QT074,30/10/2025,,HEALTH REACH DIAGNOSTICS,Draft,"9,450.00",Options quote Lines Edit View Quote Print
QT072,29/10/2025,,KAEWA ALPHA MEDICAL CENTRE,Draft,"1,741,600.00",Options quote Lines Edit View Quote Print
QT071,28/10/2025,,KARGO DISPENSARY,Draft,"940,000.00",Options quote Lines Edit View Quote Print
QT070,28/10/2025,,HIGHTOWER DENTAL CLINIC,Draft,"720,000.00",Options quote Lines Edit View Quote Print
QT069,28/10/2025,,DAWAKING LABORATORY,Draft,"460,000.00",Options quote Lines Edit View Quote Print
QT068,28/10/2025,,KIIRUA HEALTH AND WELLNESS,Draft,"250,000.00",Options quote Lines Edit View Quote Print
QT067,28/10/2025,,ANDERSEN MEDICAL CENTRE,Draft,"13,050.00",Options quote Lines Edit View Quote Print
QT063,28/10/2025,,NORTLIGHT HOSPITAL,Draft,"68,000.00",Options quote Lines Edit View Quote Print
QT062,27/10/2025,,MOTHER AMADEA MISSION HOSPITAL,Draft,"180,000.00",Options quote Lines Edit View Quote Print
QT059,27/10/2025,,SHAY MEDICAL SERVICES,Draft,"1,100,000.00",Options quote Lines Edit View Quote Print
QT058,25/10/2025,,MEWA HOSPITAL,Draft,"3,903,500.00",Options quote Lines Edit View Quote Print
QT057,24/10/2025,,GRACEPARK HOSPITAL,Draft,"65,000.00",Options quote Lines Edit View Quote Print
QT056,24/10/2025,,FREE THE CHILDREN- BARAKA,Draft,"1,750,000.00",Options quote Lines Edit View Quote Print
QT054,23/10/2025,,SHEBA MEDICAL CENTRE,Draft,"1,203,200.00",Options quote Lines Edit View Quote Print
QT052,23/10/2025,,MBUNGONI HEALTH CENTRE,Draft,"1,700,000.00",Options quote Lines Edit View Quote Print
QT047,22/10/2025,,SHAMATA MEDICAL CENTRE,Draft,"650,000.00",Options quote Lines Edit View Quote Print
QT045,22/10/2025,,PRO CARE COTTAGE HOSPITAL LIMITED,Draft,"25,000.00",Options quote Lines Edit View Quote Print
QT044,22/10/2025,,AGC LIONS NGOSWANI HOSPITAL,Draft,"5,000.00",Options quote Lines Edit View Quote Print
QT043,22/10/2025,,MUI CHEMIST,Draft,"361,850.00",Options quote Lines Edit View Quote Print
QT041,21/10/2025,,ANDERSEN MEDICAL CENTRE,Draft,"7,500.00",Options quote Lines Edit View Quote Print
QT040,21/10/2025,,RANEN ADVENTIST HOSPITAL,Draft,"107,250.00",Options quote Lines Edit View Quote Print
QT038,18/10/2025,,WEGA MEDICAL CENTRE,Draft,"637,500.00",Options quote Lines Edit View Quote Print
QT035,16/10/2025,,ULTRACARE SPECIALIST HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT029,15/10/2025,,ASPIRE DENTAL CLINIC,Draft,"398,000.00",Options quote Lines Edit View Quote Print
QT023,15/10/2025,,MAPETECH ENTERPRISES LIMITED,Draft,"43,750.00",Options quote Lines Edit View Quote Print
QT020,14/10/2025,,CHRISTAMARIANNE MISSION HOSPITAL,Draft,0.00,Options quote Lines Edit View Quote Print
QT019,14/10/2025,,ST.JOHN PAUL II AVI MATERCARE HOSPITAL,Draft,"40,000.00",Options quote Lines Edit View Quote Print
QT016,13/10/2025,,HEALTH REACH DIAGNOSTICS,Draft,"14,000.00",Options quote Lines Edit View Quote Print
QT015,13/10/2025,,KIVULI DISPENSARY,Draft,"2,500.00",Options quote Lines Edit View Quote Print
QT014,13/10/2025,,ASAD MEDICAL CENTRE LTD(CLINIC),Draft,"6,500.00",Options quote Lines Edit View Quote Print
QT012,09/10/2025,,SPECIALISED IMAGING SOLUTIONS,Draft,"650,000.00",Options quote Lines Edit View Quote Print
QT011,09/10/2025,,FREE THE CHILDREN- BARAKA,Draft,0.00,Options quote Lines Edit View Quote Print
QT009,09/10/2025,,FREE THE CHILDREN- BARAKA,Draft,0.00,Options quote Lines Edit View Quote Print
QT007,09/10/2025,,MACMILLAN UNIVERSITY LTD,Draft,0.00,Options quote Lines Edit View Quote Print
QT006,09/10/2025,,,Draft,0.00,Options quote Lines Edit View Quote Print
QT004,08/10/2025,,HAVEN HEALTHCARE,Draft,"563,000.00",Options quote Lines Edit View Quote Print
