Document No,Client Name,Payment Date,Amount,Payment Method,Bank Name,Note,Captured By,Status,Options
RCV00959,MUSA MEDICAL CLINIC,04/05/2026,"2,000.00",MPESA,EQUITY,,,Draft,Options View Post
RCV00583,BULLO MEDICARE,21/02/2026,600.00,,EQUITY,test,,Draft,Options View Post
